county.fips,county.name,state.name,party,vote.count,county.total.count,national.party.percent,national.count,is.national.winner
45001,abbeville,south carolina,D,3741,10775,48.09810441,135851595,FALSE
45001,abbeville,south carolina,O,271,10775,5.789663346,135851595,FALSE
45001,abbeville,south carolina,R,6763,10775,46.11223225,135851595,TRUE
22001,acadia,louisiana,D,5638,27389,48.09810441,135851595,FALSE
22001,acadia,louisiana,O,589,27389,5.789663346,135851595,FALSE
22001,acadia,louisiana,R,21162,27389,46.11223225,135851595,TRUE
51001,accomack,virginia,D,6740,15818,48.09810441,135851595,FALSE
51001,accomack,virginia,O,495,15818,5.789663346,135851595,FALSE
51001,accomack,virginia,R,8583,15818,46.11223225,135851595,TRUE
16001,ada,idaho,D,75677,195669,48.09810441,135851595,FALSE
16001,ada,idaho,O,26240,195669,5.789663346,135851595,FALSE
16001,ada,idaho,R,93752,195669,46.11223225,135851595,TRUE
19001,adair,iowa,D,1133,3811,48.09810441,135851595,FALSE
19001,adair,iowa,O,217,3811,5.789663346,135851595,FALSE
19001,adair,iowa,R,2461,3811,46.11223225,135851595,TRUE
21001,adair,kentucky,D,1323,8233,48.09810441,135851595,FALSE
21001,adair,kentucky,O,273,8233,5.789663346,135851595,FALSE
21001,adair,kentucky,R,6637,8233,46.11223225,135851595,TRUE
29001,adair,missouri,D,3495,10210,48.09810441,135851595,FALSE
29001,adair,missouri,O,696,10210,5.789663346,135851595,FALSE
29001,adair,missouri,R,6019,10210,46.11223225,135851595,TRUE
40001,adair,oklahoma,D,1382,6513,48.09810441,135851595,FALSE
40001,adair,oklahoma,O,344,6513,5.789663346,135851595,FALSE
40001,adair,oklahoma,R,4787,6513,46.11223225,135851595,TRUE
8001,adams,colorado,D,96558,193665,48.09810441,135851595,FALSE
8001,adams,colorado,O,17025,193665,5.789663346,135851595,FALSE
8001,adams,colorado,R,80082,193665,46.11223225,135851595,TRUE
16003,adams,idaho,D,415,2183,48.09810441,135851595,FALSE
16003,adams,idaho,O,212,2183,5.789663346,135851595,FALSE
16003,adams,idaho,R,1556,2183,46.11223225,135851595,TRUE
17001,adams,illinois,D,7676,32310,48.09810441,135851595,FALSE
17001,adams,illinois,O,1844,32310,5.789663346,135851595,FALSE
17001,adams,illinois,R,22790,32310,46.11223225,135851595,TRUE
18001,adams,indiana,D,2805,13088,48.09810441,135851595,FALSE
18001,adams,indiana,O,635,13088,5.789663346,135851595,FALSE
18001,adams,indiana,R,9648,13088,46.11223225,135851595,TRUE
19003,adams,iowa,D,565,2106,48.09810441,135851595,FALSE
19003,adams,iowa,O,146,2106,5.789663346,135851595,FALSE
19003,adams,iowa,R,1395,2106,46.11223225,135851595,TRUE
28001,adams,mississippi,D,7757,13836,48.09810441,135851595,FALSE
28001,adams,mississippi,O,205,13836,5.789663346,135851595,FALSE
28001,adams,mississippi,R,5874,13836,46.11223225,135851595,TRUE
31001,adams,nebraska,D,3302,13294,48.09810441,135851595,FALSE
31001,adams,nebraska,O,705,13294,5.789663346,135851595,FALSE
31001,adams,nebraska,R,9287,13294,46.11223225,135851595,TRUE
38001,adams,north dakota,D,216,1218,48.09810441,135851595,FALSE
38001,adams,north dakota,O,93,1218,5.789663346,135851595,FALSE
38001,adams,north dakota,R,909,1218,46.11223225,135851595,TRUE
39001,adams,ohio,D,2326,11412,48.09810441,135851595,FALSE
39001,adams,ohio,O,427,11412,5.789663346,135851595,FALSE
39001,adams,ohio,R,8659,11412,46.11223225,135851595,TRUE
42001,adams,pennsylvania,D,14219,47979,48.09810441,135851595,FALSE
42001,adams,pennsylvania,O,2337,47979,5.789663346,135851595,FALSE
42001,adams,pennsylvania,R,31423,47979,46.11223225,135851595,TRUE
53001,adams,washington,D,1299,4754,48.09810441,135851595,FALSE
53001,adams,washington,O,372,4754,5.789663346,135851595,FALSE
53001,adams,washington,R,3083,4754,46.11223225,135851595,TRUE
55001,adams,wisconsin,D,3770,10164,48.09810441,135851595,FALSE
55001,adams,wisconsin,O,411,10164,5.789663346,135851595,FALSE
55001,adams,wisconsin,R,5983,10164,46.11223225,135851595,TRUE
50001,addison,vermont,D,11219,19031,48.09810441,135851595,FALSE
50001,addison,vermont,O,2515,19031,5.789663346,135851595,FALSE
50001,addison,vermont,R,5297,19031,46.11223225,135851595,TRUE
45003,aiken,south carolina,D,25455,74851,48.09810441,135851595,FALSE
45003,aiken,south carolina,O,3371,74851,5.789663346,135851595,FALSE
45003,aiken,south carolina,R,46025,74851,46.11223225,135851595,TRUE
27001,aitkin,minnesota,D,3134,9231,48.09810441,135851595,FALSE
27001,aitkin,minnesota,O,581,9231,5.789663346,135851595,FALSE
27001,aitkin,minnesota,R,5516,9231,46.11223225,135851595,TRUE
12001,alachua,florida,D,75820,130100,48.09810441,135851595,FALSE
12001,alachua,florida,O,7446,130100,5.789663346,135851595,FALSE
12001,alachua,florida,R,46834,130100,46.11223225,135851595,TRUE
37001,alamance,north carolina,D,29818,71127,48.09810441,135851595,FALSE
37001,alamance,north carolina,O,2507,71127,5.789663346,135851595,FALSE
37001,alamance,north carolina,R,38802,71127,46.11223225,135851595,TRUE
6001,alameda,california,D,514842,659543,48.09810441,135851595,FALSE
6001,alameda,california,O,48779,659543,5.789663346,135851595,FALSE
6001,alameda,california,R,95922,659543,46.11223225,135851595,TRUE
8003,alamosa,colorado,D,3189,6939,48.09810441,135851595,FALSE
8003,alamosa,colorado,O,704,6939,5.789663346,135851595,FALSE
8003,alamosa,colorado,R,3046,6939,46.11223225,135851595,TRUE
36001,albany,new york,D,74775,127104,48.09810441,135851595,FALSE
36001,albany,new york,O,8102,127104,5.789663346,135851595,FALSE
36001,albany,new york,R,44227,127104,46.11223225,135851595,TRUE
56001,albany,wyoming,D,6890,17060,48.09810441,135851595,FALSE
56001,albany,wyoming,O,2568,17060,5.789663346,135851595,FALSE
56001,albany,wyoming,R,7602,17060,46.11223225,135851595,TRUE
51003,albemarle,virginia,D,33345,56726,48.09810441,135851595,FALSE
51003,albemarle,virginia,O,4122,56726,5.789663346,135851595,FALSE
