"","Company","Report_Date","Revenue","Last_Year_Revenue","growth","ranked_growth"
"1","BBT",2011-12-31,2.102e+09,1.653e+09,0.272,1
"2","BBT",2010-06-30,1.749e+09,1.43e+09,0.223,2
"3","BBT",2012-03-31,2.019e+09,1.659e+09,0.217,3
"4","BBT",2012-06-30,2.155e+09,1.813e+09,0.189,4
"5","BBT",2012-09-30,2.202e+09,1.856e+09,0.186,5
"6","BBT",2016-06-30,2.636e+09,2.234e+09,0.18,6
"7","BBT",2010-09-30,1.654e+09,1.468e+09,0.127,7
"8","BBT",2011-09-30,1.856e+09,1.654e+09,0.122,8
"9","BBT",2016-09-30,2.626e+09,2.349e+09,0.118,9
"10","BBT",2017-03-31,2.632e+09,2.361e+09,0.115,10
"11","BBT",2016-12-31,2.598e+09,2.39e+09,0.087,11
"12","BBT",2012-12-31,2.244e+09,2.102e+09,0.068,12
"13","BBT",2016-03-31,2.361e+09,2.21e+09,0.068,12
"14","BBT",2013-03-31,2.151e+09,2.019e+09,0.065,13
"15","BBT",2013-06-30,2.293e+09,2.155e+09,0.064,14
"16","BBT",2013-12-31,2.386e+09,2.244e+09,0.063,15
"17","BBT",2010-12-31,1.653e+09,1.568e+09,0.054,16
"18","BBT",2015-12-31,2.39e+09,2.274e+09,0.051,17
"19","BBT",2017-12-31,2.731e+09,2.598e+09,0.051,17
"20","BBT",2011-03-31,1.659e+09,1.583e+09,0.048,18
"21","BBT",2019-06-30,2.87e+09,2.744e+09,0.046,19
"22","BBT",2018-09-30,2.791e+09,2.687e+09,0.039,20
"23","BBT",2015-09-30,2.349e+09,2.264e+09,0.038,21
"24","BBT",2011-06-30,1.813e+09,1.749e+09,0.037,22
"25","BBT",2017-06-30,2.72e+09,2.636e+09,0.032,23
"26","BBT",2019-03-31,2.743e+09,2.663e+09,0.03,24
"27","BBT",2014-03-31,2.214e+09,2.151e+09,0.029,25
"28","BBT",2017-09-30,2.687e+09,2.626e+09,0.023,26
"29","BBT",2018-12-31,2.794e+09,2.731e+09,0.023,26
"30","BBT",2014-09-30,2.264e+09,2.23e+09,0.015,27
"31","BBT",2013-09-30,2.23e+09,2.202e+09,0.013,28
"32","BBT",2018-03-31,2.663e+09,2.632e+09,0.012,29
"33","BBT",2018-06-30,2.744e+09,2.72e+09,0.009,30
"34","BBT",2015-06-30,2.234e+09,2.227e+09,0.003,31
"35","BBT",2015-03-31,2.21e+09,2.214e+09,-0.002,32
"36","BBT",2014-06-30,2.227e+09,2.293e+09,-0.029,33
"37","BBT",2014-12-31,2.274e+09,2.386e+09,-0.047,34
"38","BBT",2009-06-30,1.43e+09,NA,NA,NA
"39","BBT",2009-09-30,1.468e+09,NA,NA,NA
"40","BBT",2009-12-31,1.568e+09,NA,NA,NA
