"","Company","Report_Date","Revenue","Last_Year_Revenue","growth","ranked_growth"
"1","HBAN",2010-12-31,592541000,-275382000,1.152,1
"2","FITB",2010-06-30,1.177e+09,2.373e+09,-1.496,2
"3","STI",2013-09-30,1.793e+09,3.363e+09,-1.533,3
"4","FITB",2018-09-30,1.52e+09,2.464e+09,-1.617,4
"5","KEY",2011-12-31,8.73e+08,1.252e+09,-1.697,5
"6","ZION",2015-06-30,418456000,595549000,-1.703,6
"7","FITB",2016-12-31,1.47e+09,1.909e+09,-1.77,7
"8","CFG",2015-06-30,1.123e+09,1.424e+09,-1.789,8
"9","PNC",2010-12-31,3.903e+09,4.886e+09,-1.799,9
"10","FITB",2014-06-30,1.56e+09,1.876e+09,-1.832,10
"11","CMA",2016-03-31,5.43e+08,6.51e+08,-1.834,11
"12","ZION",2010-06-30,294096000,343770000,-1.856,12
"13","FITB",2014-09-30,1.352e+09,1.563e+09,-1.865,13
"14","KEY",2012-03-31,9.53e+08,1.094e+09,-1.871,14
"15","ZION",2013-12-31,431423000,494517000,-1.872,15
"16","FITB",2015-06-30,1.364e+09,1.56e+09,-1.874,16
"17","ZION",2012-12-31,494517000,561563000,-1.881,17
"18","FITB",2014-03-31,1.388e+09,1.569e+09,-1.885,18
"19","ZION",2015-09-30,533059000,587533000,-1.907,19
"20","PNC",2011-12-31,3.549e+09,3.903e+09,-1.909,20
"21","FITB",2013-12-31,1.55e+09,1.703e+09,-1.91,21
"22","PNC",2011-06-30,3.602e+09,3.912e+09,-1.921,22
"23","FITB",2014-12-31,1.436e+09,1.55e+09,-1.926,23
"24","CMA",2019-06-30,8.09e+08,8.67e+08,-1.933,24
"25","PNC",2010-09-30,3.598e+09,3.853e+09,-1.934,25
"26","HBAN",2013-12-31,656210000,700712000,-1.936,26
"27","PNC",2014-06-30,3.81e+09,4.064e+09,-1.938,27
"28","STI",2011-12-31,1.69e+09,1.786e+09,-1.946,28
"29","KEY",2012-06-30,9.74e+08,1.026e+09,-1.949,29
"30","BBT",2014-12-31,2.274e+09,2.386e+09,-1.953,30
"31","PNC",2014-03-31,3.777e+09,3.955e+09,-1.955,31
"32","WFC",2019-03-31,2.0764e+10,2.1743e+10,-1.955,31
"33","MTB",2012-06-30,979633000,1024858000,-1.956,32
"34","WFC",2018-12-31,2.0459e+10,2.1399e+10,-1.956,32
"35","PNC",2013-09-30,3.92e+09,4.088e+09,-1.959,33
"36","KEY",2012-09-30,9.81e+08,1.022e+09,-1.96,34
"37","ZION",2013-09-30,543284000,565276000,-1.961,35
"38","STI",2015-06-30,2.015e+09,2.093e+09,-1.963,36
"39","CMA",2013-12-31,6.4e+08,6.64e+08,-1.964,37
"40","KEY",2014-09-30,9.73e+08,1.009e+09,-1.964,37
"41","PNC",2011-03-31,3.631e+09,3.763e+09,-1.965,38
"42","ZION",2015-03-31,536178000,555394000,-1.965,38
"43","ZION",2019-03-31,7.04e+08,7.27e+08,-1.968,39
"44","PNC",2014-12-31,3.947e+09,4.073e+09,-1.969,40
"45","MTB",2014-06-30,1095526000,1129276000,-1.97,41
"46","BBT",2014-06-30,2.227e+09,2.293e+09,-1.971,42
"47","KEY",2019-06-30,1.529e+09,1.575e+09,-1.971,42
"48","KEY",2016-03-31,9.46e+08,9.73e+08,-1.972,43
"49","FITB",2017-03-31,1.382e+09,1.421e+09,-1.973,44
"50","WFC",2018-06-30,2.1101e+10,2.168e+10,-1.973,44
"51","HBAN",2013-03-31,651196000,668123000,-1.975,45
"52","PNC",2015-12-31,3.853e+09,3.947e+09,-1.976,46
"53","ZION",2014-03-31,555394000,568369000,-1.977,47
"54","KEY",2019-03-31,1.451e+09,1.484e+09,-1.978,48
"55","CMA",2013-03-31,6.13e+08,6.26e+08,-1.979,49
"56","KEY",2015-03-31,9.73e+08,9.94e+08,-1.979,49
"57","USB",2013-09-30,4.537e+09,4.634e+09,-1.979,49
"58","USB",2015-06-30,4.707e+09,4.809e+09,-1.979,49
"59","CMA",2014-12-31,6.27e+08,6.4e+08,-1.98,50
"60","PNC",2014-09-30,3.841e+09,3.92e+09,-1.98,50
"61","ZION",2012-09-30,565276000,577084000,-1.98,50
"62","PNC",2016-06-30,3.794e+09,3.866e+09,-1.981,51
"63","PNC",2016-03-31,3.665e+09,3.731e+09,-1.982,52
"64","WFC",2017-09-30,2.1132e+10,2.1523e+10,-1.982,52
"65","PNC",2015-09-30,3.775e+09,3.841e+09,-1.983,53
"66","PNC",2011-09-30,3.544e+09,3.598e+09,-1.985,54
"67","STI",2019-03-31,2.175e+09,2.209e+09,-1.985,54
"68","ZION",2016-03-31,5.28e+08,536178000,-1.985,54
"69","CMA",2014-09-30,6.24e+08,6.32e+08,-1.987,55
"70","KEY",2016-06-30,1.018e+09,1.031e+09,-1.987,55
"71","PNC",2015-03-31,3.731e+09,3.777e+09,-1.988,56
"72","USB",2013-12-31,4.556e+09,4.613e+09,-1.988,56
"73","KEY",2011-09-30,1.022e+09,1.032e+09,-1.99,57
"74","MTB",2014-09-30,1091170000,1102496000,-1.99,57
"75","WFC",2015-12-31,2.0755e+10,2.0958e+10,-1.99,57
"76","KEY",2015-12-31,1.042e+09,1.05e+09,-1.992,58
"77","CMA",2014-03-31,6.09e+08,6.13e+08,-1.993,59
"78","CMA",2013-06-30,6.23e+08,6.27e+08,-1.994,60
"79","MTB",2014-03-31,1044540000,1050932000,-1.994,60
"80","USB",2017-06-30,5.047e+09,5.07e+09,-1.995,61
"81","FITB",2013-03-31,1.569e+09,1.576e+09,-1.996,62
"82","FITB",2017-12-31,1.464e+09,1.47e+09,-1.996,62
"83","STI",2013-12-31,1.926e+09,1.933e+09,-1.996,62
"84","USB",2013-06-30,4.53e+09,4.543e+09,-1.997,63
"85","BBT",2015-03-31,2.21e+09,2.214e+09,-1.998,64
"86","MTB",2015-09-30,1088526000,1091170000,-1.998,64
"87","MTB",2013-12-31,1070730000,1071586000,-1.999,65
"88","WFC",2010-06-30,1.7405e+10,1.7421e+10,-1.999,65
"89","KEY",2013-03-31,9.53e+08,9.53e+08,-2,66
"90","HBAN",2016-06-30,752484000,752040000,-2.001,67
"91","PNC",2013-12-31,4.073e+09,4.069e+09,-2.001,67
"92","STI",2013-03-31,1.872e+09,1.87e+09,-2.001,67
"93","WFC",2016-12-31,2.0777e+10,2.0755e+10,-2.001,67
"94","ZION",2012-06-30,544156000,543191000,-2.002,68
"95","BBT",2015-06-30,2.234e+09,2.227e+09,-2.003,69
"96","CMA",2014-06-30,6.25e+08,6.23e+08,-2.003,69
"97","STI",2014-12-31,1.932e+09,1.926e+09,-2.003,69
"98","WFC",2011-12-31,1.8565e+10,1.8505e+10,-2.003,69
"99","WFC",2016-06-30,2.1088e+10,2.1018e+10,-2.003,69
"100","WFC",2018-03-31,2.1743e+10,2.165e+10,-2.004,70
