"","Company","Report_Date","OperatingExpenses","Last_Year_OperatingExpenses","Growth"
"1","BBT",2009-06-30,1.181e+09,NA,NA
"2","BBT",2009-09-30,1.32e+09,NA,NA
"3","BBT",2009-12-31,1.361e+09,NA,NA
"4","BBT",2010-03-31,1.341e+09,NA,NA
"5","BBT",2010-06-30,1.5e+09,1.181e+09,0.27
"6","BBT",2010-09-30,1.408e+09,1.32e+09,0.067
"7","BBT",2010-12-31,1.421e+09,1.361e+09,0.044
"8","BBT",2011-03-31,1.372e+09,1.341e+09,0.023
"9","BBT",2011-06-30,1.395e+09,1.5e+09,-0.07
"10","BBT",2011-09-30,1.417e+09,1.408e+09,0.006
"11","BBT",2011-12-31,1.618e+09,1.421e+09,0.139
"12","BBT",2012-03-31,1.385e+09,1.372e+09,0.009
"13","BBT",2012-06-30,1.426e+09,1.395e+09,0.022
"14","BBT",2012-09-30,1.529e+09,1.417e+09,0.079
"15","BBT",2012-12-31,1.486e+09,1.618e+09,-0.082
"16","BBT",2013-03-31,1.414e+09,1.385e+09,0.021
"17","BBT",2013-06-30,1.496e+09,1.426e+09,0.049
"18","BBT",2013-09-30,1.471e+09,1.529e+09,-0.038
"19","BBT",2013-12-31,1.396e+09,1.486e+09,-0.061
"20","BBT",2014-03-31,1.385e+09,1.414e+09,-0.021
"21","BBT",2014-06-30,1.534e+09,1.496e+09,0.025
"22","BBT",2014-09-30,1.417e+09,1.471e+09,-0.037
"23","BBT",2014-12-31,1.394e+09,1.396e+09,-0.001
"24","BBT",2015-03-31,1.422e+09,1.385e+09,0.027
"25","BBT",2015-06-30,1.481e+09,1.534e+09,-0.035
"26","BBT",2015-09-30,1.594e+09,1.417e+09,0.125
"27","BBT",2015-12-31,1.597e+09,1.394e+09,0.146
"28","BBT",2016-03-31,1.546e+09,1.422e+09,0.087
"29","BBT",2016-06-30,1.797e+09,1.481e+09,0.213
"30","BBT",2016-09-30,1.711e+09,1.594e+09,0.073
"31","BBT",2016-12-31,1.668e+09,1.597e+09,0.044
"32","BBT",2017-03-31,1.71e+09,1.546e+09,0.106
"33","BBT",2017-06-30,1.742e+09,1.797e+09,-0.031
"34","BBT",2017-09-30,1.745e+09,1.711e+09,0.02
