"","Company","Report_Date","Revenue","Last_Year_Revenue","Growth"
"1","BBT",2009-06-30,1.43e+09,NA,NA
"2","BBT",2009-09-30,1.468e+09,NA,NA
"3","BBT",2009-12-31,1.568e+09,NA,NA
"4","BBT",2010-03-31,1.583e+09,NA,NA
"5","BBT",2010-06-30,1.749e+09,1.43e+09,0.223
"6","BBT",2010-09-30,1.654e+09,1.468e+09,0.127
"7","BBT",2010-12-31,1.653e+09,1.568e+09,0.054
"8","BBT",2011-03-31,1.659e+09,1.583e+09,0.048
"9","BBT",2011-06-30,1.813e+09,1.749e+09,0.037
"10","BBT",2011-09-30,1.856e+09,1.654e+09,0.122
"11","BBT",2011-12-31,2.102e+09,1.653e+09,0.272
"12","BBT",2012-03-31,2.019e+09,1.659e+09,0.217
"13","BBT",2012-06-30,2.155e+09,1.813e+09,0.189
"14","BBT",2012-09-30,2.202e+09,1.856e+09,0.186
"15","BBT",2012-12-31,2.244e+09,2.102e+09,0.068
"16","BBT",2013-03-31,2.151e+09,2.019e+09,0.065
"17","BBT",2013-06-30,2.293e+09,2.155e+09,0.064
"18","BBT",2013-09-30,2.23e+09,2.202e+09,0.013
"19","BBT",2013-12-31,2.386e+09,2.244e+09,0.063
"20","BBT",2014-03-31,2.214e+09,2.151e+09,0.029
"21","BBT",2014-06-30,2.227e+09,2.293e+09,-0.029
"22","BBT",2014-09-30,2.264e+09,2.23e+09,0.015
"23","BBT",2014-12-31,2.274e+09,2.386e+09,-0.047
"24","BBT",2015-03-31,2.21e+09,2.214e+09,-0.002
"25","BBT",2015-06-30,2.234e+09,2.227e+09,0.003
"26","BBT",2015-09-30,2.349e+09,2.264e+09,0.038
"27","BBT",2015-12-31,2.39e+09,2.274e+09,0.051
"28","BBT",2016-03-31,2.361e+09,2.21e+09,0.068
"29","BBT",2016-06-30,2.636e+09,2.234e+09,0.18
"30","BBT",2016-09-30,2.626e+09,2.349e+09,0.118
"31","BBT",2016-12-31,2.598e+09,2.39e+09,0.087
"32","BBT",2017-03-31,2.632e+09,2.361e+09,0.115
"33","BBT",2017-06-30,2.72e+09,2.636e+09,0.032
"34","BBT",2017-09-30,2.687e+09,2.626e+09,0.023
"35","BBT",2017-12-31,2.731e+09,2.598e+09,0.051
"36","BBT",2018-03-31,2.663e+09,2.632e+09,0.012
"37","BBT",2018-06-30,2.744e+09,2.72e+09,0.009
"38","BBT",2018-09-30,2.791e+09,2.687e+09,0.039
"39","BBT",2018-12-31,2.794e+09,2.731e+09,0.023
"40","BBT",2019-03-31,2.743e+09,2.663e+09,0.03
"41","BBT",2019-06-30,2.87e+09,2.744e+09,0.046
"42","CFG",2013-09-30,1.008e+09,NA,NA
"43","CFG",2013-12-31,1.026e+09,NA,NA
"44","CFG",2014-03-31,1.045e+09,NA,NA
"45","CFG",2014-06-30,1.424e+09,NA,NA
"46","CFG",2014-09-30,1.084e+09,1.008e+09,0.075
"47","CFG",2014-12-31,1.107e+09,1.026e+09,0.079
"48","CFG",2015-03-31,1.125e+09,1.045e+09,0.077
"49","CFG",2015-06-30,1.123e+09,1.424e+09,-0.211
"50","CFG",2015-09-30,1.133e+09,1.084e+09,0.045
"51","CFG",2015-12-31,1.141e+09,1.107e+09,0.031
"52","CFG",2016-03-31,1.143e+09,1.125e+09,0.016
"53","CFG",2016-06-30,1.188e+09,1.123e+09,0.058
"54","CFG",2016-09-30,1.294e+09,1.133e+09,0.142
"55","CFG",2016-12-31,1.261e+09,1.141e+09,0.105
"56","CFG",2017-03-31,1.288e+09,1.143e+09,0.127
"57","CFG",2017-06-30,1.326e+09,1.188e+09,0.116
"58","CFG",2017-09-30,1.371e+09,1.294e+09,0.06
"59","CFG",2017-12-31,1.401e+09,1.261e+09,0.111
"60","CFG",2018-03-31,1.384e+09,1.288e+09,0.075
"61","CFG",2018-06-30,1.424e+09,1.326e+09,0.074
"62","CFG",2018-09-30,1.486e+09,1.371e+09,0.084
"63","CFG",2018-12-31,1.508e+09,1.401e+09,0.076
"64","CFG",2019-03-31,1.503e+09,1.384e+09,0.086
"65","CMA",2009-06-30,3.88e+08,NA,NA
"66","CMA",2009-09-30,3.89e+08,NA,NA
"67","CMA",2009-12-31,3.54e+08,NA,NA
"68","CMA",2010-03-31,4.34e+08,NA,NA
"69","CMA",2010-06-30,4.9e+08,3.88e+08,0.263
"70","CMA",2010-09-30,4.68e+08,3.89e+08,0.203
"71","CMA",2010-12-31,5.65e+08,3.54e+08,0.596
"72","CMA",2011-03-31,5.53e+08,4.34e+08,0.274
"73","CMA",2011-06-30,5.48e+08,4.9e+08,0.118
"74","CMA",2011-09-30,5.89e+08,4.68e+08,0.259
"75","CMA",2011-12-31,6.08e+08,5.65e+08,0.076
"76","CMA",2012-03-31,6.26e+08,5.53e+08,0.132
"77","CMA",2012-06-30,6.27e+08,5.48e+08,0.144
"78","CMA",2012-09-30,6.02e+08,5.89e+08,0.022
"79","CMA",2012-12-31,6.64e+08,6.08e+08,0.092
"80","CMA",2013-03-31,6.13e+08,6.26e+08,-0.021
"81","CMA",2013-06-30,6.23e+08,6.27e+08,-0.006
"82","CMA",2013-09-30,6.32e+08,6.02e+08,0.05
"83","CMA",2013-12-31,6.4e+08,6.64e+08,-0.036
"84","CMA",2014-03-31,6.09e+08,6.13e+08,-0.007
"85","CMA",2014-06-30,6.25e+08,6.23e+08,0.003
"86","CMA",2014-09-30,6.24e+08,6.32e+08,-0.013
"87","CMA",2014-12-31,6.27e+08,6.4e+08,-0.02
"88","CMA",2015-03-31,6.51e+08,6.09e+08,0.069
"89","CMA",2015-06-30,6.32e+08,6.25e+08,0.011
"90","CMA",2015-09-30,6.56e+08,6.24e+08,0.051
"91","CMA",2015-12-31,6.39e+08,6.27e+08,0.019
"92","CMA",2016-03-31,5.43e+08,6.51e+08,-0.166
"93","CMA",2016-06-30,6.64e+08,6.32e+08,0.051
"94","CMA",2016-09-30,7.06e+08,6.56e+08,0.076
"95","CMA",2016-12-31,6.87e+08,6.39e+08,0.075
"96","CMA",2017-03-31,7.25e+08,5.43e+08,0.335
"97","CMA",2017-06-30,7.59e+08,6.64e+08,0.143
"98","CMA",2017-09-30,7.97e+08,7.06e+08,0.129
"99","CMA",2017-12-31,8.13e+08,6.87e+08,0.183
"100","CMA",2018-03-31,7.81e+08,7.25e+08,0.077
"101","CMA",2018-06-30,8.67e+08,7.59e+08,0.142
"102","CMA",2018-09-30,8.33e+08,7.97e+08,0.045
"103","CMA",2018-12-31,8.48e+08,8.13e+08,0.043
"104","CMA",2019-03-31,8.57e+08,7.81e+08,0.097
"105","CMA",2019-06-30,8.09e+08,8.67e+08,-0.067
"106","FITB",2009-06-30,2.373e+09,NA,NA
"107","FITB",2009-09-30,7.68e+08,NA,NA
"108","FITB",2009-12-31,7.53e+08,NA,NA
"109","FITB",2010-03-31,9.34e+08,NA,NA
"110","FITB",2010-06-30,1.177e+09,2.373e+09,-0.504
"111","FITB",2010-09-30,1.282e+09,7.68e+08,0.669
"112","FITB",2010-12-31,1.403e+09,7.53e+08,0.863
"113","FITB",2011-03-31,1.295e+09,9.34e+08,0.387
"114","FITB",2011-06-30,1.407e+09,1.177e+09,0.195
"115","FITB",2011-09-30,1.476e+09,1.282e+09,0.151
"116","FITB",2011-12-31,1.411e+09,1.403e+09,0.006
"117","FITB",2012-03-31,1.576e+09,1.295e+09,0.217
"118","FITB",2012-06-30,1.502e+09,1.407e+09,0.068
"119","FITB",2012-09-30,1.509e+09,1.476e+09,0.022
"120","FITB",2012-12-31,1.703e+09,1.411e+09,0.207
"121","FITB",2013-03-31,1.569e+09,1.576e+09,-0.004
"122","FITB",2013-06-30,1.876e+09,1.502e+09,0.249
"123","FITB",2013-09-30,1.563e+09,1.509e+09,0.036
"124","FITB",2013-12-31,1.55e+09,1.703e+09,-0.09
"125","FITB",2014-03-31,1.388e+09,1.569e+09,-0.115
"126","FITB",2014-06-30,1.56e+09,1.876e+09,-0.168
"127","FITB",2014-09-30,1.352e+09,1.563e+09,-0.135
"128","FITB",2014-12-31,1.436e+09,1.55e+09,-0.074
"129","FITB",2015-03-31,1.408e+09,1.388e+09,0.014
"130","FITB",2015-06-30,1.364e+09,1.56e+09,-0.126
"131","FITB",2015-09-30,1.458e+09,1.352e+09,0.078
"132","FITB",2015-12-31,1.909e+09,1.436e+09,0.329
"133","FITB",2016-03-31,1.421e+09,1.408e+09,0.009
"134","FITB",2016-06-30,1.41e+09,1.364e+09,0.034
"135","FITB",2016-09-30,1.667e+09,1.458e+09,0.143
"136","FITB",2016-12-31,1.47e+09,1.909e+09,-0.23
"137","FITB",2017-03-31,1.382e+09,1.421e+09,-0.027
"138","FITB",2017-06-30,1.451e+09,1.41e+09,0.029
"139","FITB",2017-09-30,2.464e+09,1.667e+09,0.478
"140","FITB",2017-12-31,1.464e+09,1.47e+09,-0.004
"141","FITB",2018-03-31,1.892e+09,1.382e+09,0.369
"142","FITB",2018-06-30,1.73e+09,1.451e+09,0.192
"143","FITB",2018-09-30,1.52e+09,2.464e+09,-0.383
"144","FITB",2018-12-31,1.561e+09,1.464e+09,0.066
"145","FITB",2019-03-31,2.093e+09,1.892e+09,0.106
"146","HBAN",2009-06-30,202137000,NA,NA
"147","HBAN",2009-09-30,143735000,NA,NA
"148","HBAN",2009-12-31,-275382000,NA,NA
"149","HBAN",2010-03-31,399737000,NA,NA
"150","HBAN",2010-06-30,475893000,202137000,1.354
"151","HBAN",2010-09-30,557945000,143735000,2.882
"152","HBAN",2010-12-31,592541000,-275382000,-3.152
"153","HBAN",2011-03-31,591890000,399737000,0.481
"154","HBAN",2011-06-30,623307000,475893000,0.31
"155","HBAN",2011-09-30,621451000,557945000,0.114
"156","HBAN",2011-12-31,599086000,592541000,0.011
"157","HBAN",2012-03-31,668123000,591890000,0.129
"158","HBAN",2012-06-30,646261000,623307000,0.037
"159","HBAN",2012-09-30,654361000,621451000,0.053
"160","HBAN",2012-12-31,700712000,599086000,0.17
"161","HBAN",2013-03-31,651196000,668123000,-0.025
"162","HBAN",2013-06-30,652134000,646261000,0.009
"163","HBAN",2013-09-30,667219000,654361000,0.02
"164","HBAN",2013-12-31,656210000,700712000,-0.064
"165","HBAN",2014-03-31,661361000,651196000,0.016
"166","HBAN",2014-06-30,680730000,652134000,0.044
"167","HBAN",2014-09-30,689204000,667219000,0.033
"168","HBAN",2014-12-31,704036000,656210000,0.073
"169","HBAN",2015-03-31,678717000,661361000,0.026
"170","HBAN",2015-06-30,752040000,680730000,0.105
"171","HBAN",2015-09-30,726098000,689204000,0.054
"172","HBAN",2015-12-31,733145000,704036000,0.041
"173","HBAN",2016-03-31,717351000,678717000,0.057
"174","HBAN",2016-06-30,752484000,752040000,0.001
"175","HBAN",2016-09-30,8.64e+08,726098000,0.19
"176","HBAN",2016-12-31,994165000,733145000,0.356
"177","HBAN",2017-03-31,9.74e+08,717351000,0.358
"178","HBAN",2017-06-30,1.045e+09,752484000,0.389
"179","HBAN",2017-09-30,1.045e+09,8.64e+08,0.209
"180","HBAN",2017-12-31,1.044e+09,994165000,0.05
"181","HBAN",2018-03-31,1.018e+09,9.74e+08,0.045
"182","HBAN",2018-06-30,1.064e+09,1.045e+09,0.018
"183","HBAN",2018-09-30,1.091e+09,1.045e+09,0.044
"184","HBAN",2018-12-31,1.102e+09,1.044e+09,0.056
"185","HBAN",2019-03-31,1.074e+09,1.018e+09,0.055
"186","HBAN",2019-06-30,1.127e+09,1.064e+09,0.059
"187","KEY",2009-06-30,4.52e+08,NA,NA
"188","KEY",2009-09-30,2.41e+08,NA,NA
"189","KEY",2009-12-31,3.43e+08,NA,NA
"190","KEY",2010-03-31,6.62e+08,NA,NA
"191","KEY",2010-06-30,8.81e+08,4.52e+08,0.949
"192","KEY",2010-09-30,1.032e+09,2.41e+08,3.282
"193","KEY",2010-12-31,1.252e+09,3.43e+08,2.65
"194","KEY",2011-03-31,1.094e+09,6.62e+08,0.653
"195","KEY",2011-06-30,1.026e+09,8.81e+08,0.165
"196","KEY",2011-09-30,1.022e+09,1.032e+09,-0.01
"197","KEY",2011-12-31,8.73e+08,1.252e+09,-0.303
"198","KEY",2012-03-31,9.53e+08,1.094e+09,-0.129
"199","KEY",2012-06-30,9.74e+08,1.026e+09,-0.051
"200","KEY",2012-09-30,9.81e+08,1.022e+09,-0.04
"201","KEY",2012-12-31,9.83e+08,8.73e+08,0.126
"202","KEY",2013-03-31,9.53e+08,9.53e+08,0
"203","KEY",2013-06-30,9.82e+08,9.74e+08,0.008
"204","KEY",2013-09-30,1.009e+09,9.81e+08,0.029
"205","KEY",2013-12-31,1.009e+09,9.83e+08,0.026
"206","KEY",2014-03-31,9.94e+08,9.53e+08,0.043
"207","KEY",2014-06-30,1.016e+09,9.82e+08,0.035
"208","KEY",2014-09-30,9.73e+08,1.009e+09,-0.036
"209","KEY",2014-12-31,1.05e+09,1.009e+09,0.041
"210","KEY",2015-03-31,9.73e+08,9.94e+08,-0.021
"211","KEY",2015-06-30,1.031e+09,1.016e+09,0.015
